Ticker,buy_date,buy_price,sell_date,sell_price,pct_gain,days_held,buy_cause,sell_cause,buy_date_dt,sell_date_dt
ZBRA,2024-01-12,248.8699951171875,2024-02-12,259.3999938964844,0.040228702815282125,31,BB_lower_cross (z=-1.68),BB_upper_cross,2024-01-12,2024-02-12
MKTX,2024-01-12,263.64825439453125,2024-03-11,219.4725341796875,-0.1692187451765914,59,BB_lower_cross (z=-1.53),BB_upper_cross,2024-01-12,2024-03-11
DHR,2024-01-12,223.57540893554688,2024-01-30,243.13975524902344,0.08533385978149033,18,BB_lower_cross (z=-1.82),BB_upper_cross,2024-01-12,2024-01-30
USB,2024-01-12,39.37489318847656,2024-02-29,39.19740295410156,-0.006496696322941253,48,BB_lower_cross (z=-1.80),BB_upper_cross,2024-01-12,2024-02-29
F,2024-01-12,10.222283363342283,2024-02-01,10.79316234588623,0.05373693949651037,20,BB_lower_cross (z=-1.97),BB_upper_cross,2024-01-12,2024-02-01
ENPH,2024-01-12,110.22000122070312,2024-02-07,117.51000213623048,0.06401030319666479,26,BB_lower_cross (z=-1.71),BB_upper_cross,2024-01-12,2024-02-07
WFC,2024-01-12,45.70183181762695,2024-01-30,49.356048583984375,0.07780001678842474,18,BB_lower_cross (z=-3.08),BB_upper_cross,2024-01-12,2024-01-30
TXN,2024-01-16,155.70709228515625,2024-01-19,164.98983764648438,0.05749959879582156,3,BB_lower_cross (z=-1.62),BB_upper_cross,2024-01-16,2024-01-19
XYZ,2024-01-16,65.16000366210938,2024-02-23,78.91999816894531,0.20875247741463587,38,BB_lower_cross (z=-1.53),BB_upper_cross,2024-01-16,2024-02-23
GEHC,2024-01-16,74.7872085571289,2024-02-06,81.76016998291016,0.09105306340718222,21,BB_lower_cross (z=-1.58),BB_upper_cross,2024-01-16,2024-02-06
FITB,2024-01-16,31.79679679870605,2024-02-29,32.4874153137207,0.019678353082829725,44,BB_lower_cross (z=-1.82),BB_upper_cross,2024-01-16,2024-02-29
KEY,2024-01-16,12.8878173828125,2024-01-30,13.887735366821287,0.07543327408523526,14,BB_lower_cross (z=-2.20),BB_upper_cross,2024-01-16,2024-01-30
CTRA,2024-01-16,23.622716903686523,2024-02-21,24.898073196411133,0.05188268130752216,36,BB_lower_cross (z=-2.56),BB_upper_cross,2024-01-16,2024-02-21
CF,2024-01-16,73.37869262695312,2024-02-09,75.21868896484375,0.023027246555645586,24,BB_lower_cross (z=-1.68),BB_upper_cross,2024-01-16,2024-02-09
VLTO,2024-01-16,74.10002136230469,2024-02-07,80.67012786865234,0.08649022377944005,22,BB_lower_cross (z=-1.67),BB_upper_cross,2024-01-16,2024-02-07
CTVA,2024-01-16,44.73955154418945,2024-02-01,53.16817474365234,0.186018696943685,16,BB_lower_cross (z=-1.98),BB_upper_cross,2024-01-16,2024-02-01
PNW,2024-01-16,64.81121063232422,2024-02-21,65.922607421875,0.015115954148212873,36,BB_lower_cross (z=-1.70),BB_upper_cross,2024-01-16,2024-02-21
